Run,Algorithm,Final_Regret,Final_Reward,Avg_Instantaneous_Regret,Total_Steps
run_0,Oracle,0.0,158.20662221294634,0.0,1000
run_0,GNeuralUCB,74.51512131243223,0.0,0.07458971102345568,1000
run_0,EXPUCB,52.43489079143026,42.460011025890125,0.05248737816959986,1000
run_0,EXPNeuralUCB,46.126086772298684,55.218556884845675,0.046172259031330015,1000
run_1,Oracle,0.0,158.20662221294634,0.0,1000
run_1,GNeuralUCB,18.631882081897814,56.18084811008166,0.018650532614512327,1000
run_1,EXPUCB,52.29196509928971,40.1535008521113,0.05234430940869841,1000
run_1,EXPNeuralUCB,56.900871566779784,73.46322536681703,0.05695782939617596,1000
run_2,Oracle,0.0,158.20662221294634,0.0,1000
run_2,GNeuralUCB,69.93652891957642,18.97102008392781,0.07000653545503147,1000
run_2,EXPUCB,53.807813595236894,38.478052249184614,0.0538616752705074,1000
run_2,EXPNeuralUCB,61.28201973879584,54.87134261866936,0.061343363101897745,1000
